saq1_1,saq1_2,saq2_1,saq2_2,saq3_1,saq3_2,saq4_1,saq4_2,saq5_1,saq5_2,saq6_1,saq6_2,saq7_1,saq7_2,saq8_1,saq8_2,saq9_1,saq9_2,saq10_1,saq10_2,saq11_1,saq11_2,saq12_1,saq12_2,saq13_1,saq13_2,saq14_1,saq14_2,saq15_1,saq15_2,saq16_1,saq16_2,saq17_1,saq17_2,saq18_1,saq18_2,saq19_1,saq19_2,saq20_1,saq20_2,saq21_1,saq21_2,saq22_1,saq22_2,saq23_1,saq23_2,saq24_1,saq24_2,saq25_1,saq25_2,saq26_1,saq26_2,saq27_1,saq27_2,saq28_1,saq28_2,saq29_1,saq29_2,saq30_1,saq30_2,saq31_1,saq31_2,saq32_1,saq32_2,saq33_1,saq33_2,saq34_1,saq34_2,saq35_1,saq35_2,saq36_1,saq36_2,saq37_1,saq37_2,saq38_1,saq38_2,saq39_1,saq39_2,saq40_1,saq40_2,saq41_1,saq41_2,saq42_1,saq42_2,saq43_1,saq43_2,saq44_1,saq44_2,vq1,vq2,vq3,vq4,vq5,vq6,vq7,vq8,vq9,vq10,vq11,vq12,vq13,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13_1,bq13_2,bq13_3,bq14_1,bq14_2,bq14_3,bq14_4,bq14_5,bq14_6,bq14_7,bq15,bq16_1,bq16_2,bq16_3,bq16_4,bq16_5,bq16_6,bq16_7,bq16_8,bq16_9,bq16_10,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq18_8,bq18_9,bq19,bq20,bq22_1,bq22_2,bq22_3,bq22_4,bq22_5,bq22_6,bq23_1,bq23_2,bq23_3,bq25,bq29,bq30_1,bq30_2,bq30_3,knowcode,bq1__1,bq1__2,bq1__3,bq1__4,bq1__5,bq1__6,bq1__7,bq1__8,bq1__9,bq1__10,bq1__11,bq1__12,bq1__13,bq1__14,bq1__15,bq1__16,bq1__17,bq1__18,bq1__19,bq1__20,bq1__21,bq2__1,bq2__2,bq2__3,bq2__4,bq2__5,bq3__1,bq3__2,bq3__3,bq3__4,bq3__5,bq3__6,bq4___1,bq5___1,bq5_1__1,bq5_1__2,bq5_1__3,bq5_1__4,bq5_1__5,bq5_1__6,bq6__1,bq6__2,bq6__3,bq6__4,bq6__5,bq6__6,bq6__7,bq7__1,bq7__2,bq7__3,bq7__4,bq7__5,bq7__6,bq7__7,bq21_1__1,bq21_1__2,bq21_1__3,bq21_2__1,bq21_2__2,bq21_2__3,bq21_3__1,bq21_3__2,bq21_3__3,bq21_4___1,bq24___1,bq26__1,bq26__2,bq26__3,bq26__4,bq26__5,bq26__6,bq27_1___1,bq27_2__1,bq27_2__2,bq27_2__3,bq27_2__4,bq27_2__5,bq27_2__6,bq27_2__7,bq28___1
4,4,4,4,4,5,4,5,3,3,4,5,1,0,4,5,3,4,1,0,3,4,3,4,4,5,3,4,4,5,3,4,3,4,1,0,1,0,4,5,3,3,3,4,4,4,1,0,4,5,1,0,1,0,1,0,5,5,1,0,3,4,4,5,1,0,3,4,3,4,3,4,1,0,3,4,3,3,2,3,2,3,3,4,4,5,3,4,2,4,5,3,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,3,3,4,4,4,1,5,5,4,5,5,5,3,3,1,3,4,4,5,4,5,4,4,4,3,4,4,2,2,2,2,2,2,2,2,2,1,3,5,7,4,5,2,3,3,4,3,42,40,4000,2600,0,304003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
5,6,5,6,4,5,4,5,4,5,4,5,5,6,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,3,4,4,5,4,5,4,5,4,5,3,4,3,4,4,5,3,3,2,3,2,2,2,2,2,2,3,4,2,2,3,4,3,3,3,3,3,4,3,4,3,3,4,5,4,5,4,4,4,5,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,5,5,5,4,4,2,5,4,3,4,4,3,4,4,4,3,4,3,3,4,4,4,4,4,3,4,3,2,2,2,2,2,2,2,2,2,1,2,3,4,3,5,6,6,3,6,5,45,40,4000,3000,0,221401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
3,4,3,4,3,4,3,5,3,5,3,5,3,5,4,5,4,5,4,5,3,4,3,4,3,4,4,5,4,4,4,5,3,4,4,5,4,5,3,5,4,4,3,5,4,5,3,4,4,4,4,5,4,5,4,5,4,5,4,5,4,5,3,4,4,5,4,5,4,5,4,5,3,4,3,4,4,6,3,4,3,4,4,5,3,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,4,4,4,3,4,2,4,4,3,4,3,4,4,4,3,4,4,4,4,3,2,2,1,1,2,2,2,2,2,2,2,5,7,5,5,5,5,5,5,5,38,48,4300,3000,0,815001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
4,5,2,3,3,3,4,5,3,4,3,5,4,4,3,3,3,2,1,0,2,3,3,4,3,5,3,2,3,3,4,4,3,4,1,0,5,6,3,4,3,5,4,4,4,4,2,3,3,3,1,0,2,4,1,0,2,3,1,0,3,2,1,0,1,0,1,0,1,0,1,0,2,3,3,3,2,3,1,0,3,3,1,0,3,3,2,1,4,4,4,4,4,3,4,2,3,4,4,2,4,4,3,3,4,4,3,4,3,3,3,4,3,4,4,2,2,3,4,3,3,4,4,4,3,4,3,3,2,3,4,3,2,2,2,2,2,2,2,2,2,2,2,1,3,6,4,7,3,6,7,7,6,4,25,40,3500,3300,0,304003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
5,6,4,5,3,5,4,4,4,6,4,5,4,5,5,6,4,5,4,5,4,5,4,5,5,6,4,5,1,0,1,0,4,5,4,5,4,5,5,6,4,5,4,5,4,5,3,3,4,4,1,0,4,5,4,6,4,5,4,5,3,3,3,4,3,4,4,6,4,6,5,5,1,0,3,5,4,4,2,3,3,5,4,5,3,3,3,2,4,3,5,3,4,2,4,4,3,4,4,4,5,4,4,3,4,4,4,3,4,5,5,4,2,4,4,2,4,3,3,5,2,3,3,5,3,2,3,4,4,5,4,3,5,4,2,2,2,2,2,2,2,2,2,2,2,8,8,7,5,3,6,6,2,1,49,40,5700,2700,0,140201,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
4,5,5,6,3,4,5,6,3,4,4,6,3,4,3,4,3,4,3,4,3,4,1,0,3,4,3,4,3,4,3,4,4,5,4,4,1,0,4,5,3,4,3,4,4,5,3,4,1,0,1,0,1,0,1,0,1,0,1,0,4,5,1,0,1,0,1,0,1,0,1,0,4,5,3,4,3,4,3,4,3,4,3,4,3,4,3,4,4,4,3,3,3,3,4,3,3,3,3,4,4,4,4,3,4,4,4,4,5,5,4,4,2,4,4,4,3,3,2,1,4,3,4,3,3,3,3,3,4,5,4,3,3,4,1,2,2,2,1,1,2,2,2,3,2,2,8,8,3,3,3,1,2,8,34,40,4500,3200,0,32201,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
4,4,3,4,2,3,3,3,3,4,3,3,4,5,3,4,3,4,4,4,4,5,4,5,4,5,4,5,4,4,4,4,3,3,4,5,3,3,4,4,3,3,3,3,3,3,3,4,4,5,3,4,4,5,4,5,4,5,4,5,3,5,4,5,4,6,4,5,4,5,4,4,4,5,4,6,4,6,4,5,4,5,4,4,3,4,3,4,4,3,3,4,4,2,4,4,3,2,4,3,2,3,4,3,3,3,2,4,4,3,4,4,3,4,3,4,4,3,4,4,4,4,3,4,3,3,3,4,4,5,4,4,5,4,2,2,2,2,2,2,1,2,2,2,2,8,9,8,2,6,6,8,8,2,34,52,3800,2800,0,835201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
1,0,2,3,1,0,1,0,1,0,1,0,4,4,3,4,2,3,1,0,1,0,1,0,3,4,1,0,3,5,1,0,1,0,1,0,1,0,4,6,3,4,1,0,1,0,1,0,4,5,3,4,2,2,1,0,2,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,0,1,0,4,5,4,3,4,2,3,4,3,2,4,1,4,4,3,3,4,4,3,3,4,3,3,3,2,4,4,4,3,3,4,3,2,3,3,4,5,4,3,3,4,4,3,4,4,3,2,2,2,2,2,2,2,2,2,1,3,7,8,6,4,4,4,7,3,2,32,48,2800,2000,0,511201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
3,4,4,5,2,3,1,0,1,0,2,3,2,3,2,3,2,3,2,2,2,2,2,2,3,4,2,3,2,3,4,5,2,3,2,3,2,3,2,3,3,4,2,3,2,3,2,3,3,4,3,4,3,4,3,4,4,5,3,4,2,3,4,5,4,5,4,5,4,5,4,5,2,3,5,7,5,7,4,5,5,7,4,5,4,5,5,7,4,4,5,4,4,2,3,3,3,4,4,3,4,3,4,3,4,4,3,3,3,4,4,4,3,4,5,2,3,2,2,5,4,5,2,5,4,5,5,4,4,5,4,4,5,4,2,2,2,2,2,2,2,2,2,2,3,7,4,7,2,3,4,2,3,2,46,40,2500,2400,0,885101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
4,6,5,6,5,6,5,6,2,2,4,5,4,5,4,5,4,5,5,6,4,6,4,5,5,6,4,5,5,6,5,6,4,5,4,5,3,4,4,5,4,5,5,6,5,6,3,4,2,2,4,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,5,2,2,1,0,5,3,4,3,4,5,4,5,5,6,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,4,5,4,4,5,5,4,5,5,1,4,4,2,3,4,4,4,4,4,2,4,4,4,4,4,3,4,4,3,4,3,2,2,2,2,2,2,2,2,2,1,3,7,6,5,5,5,6,7,6,5,33,40,3500,3000,0,221401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
