idx,knowcode
6,232101.0
14,301004.0
19,881101.0
20,541301.0
26,550201.0
32,301004.0
35,411202.0
49,420301.0
50,531701.0
55,158201.0
64,306501.0
71,140601.0
74,622304.0
77,531601.0
83,622304.0
90,140204.0
96,211101.0
115,211101.0
116,212101.0
118,306501.0
120,221301.0
126,623002.0
127,132004.0
129,31501.0
131,14301.0
139,822101.0
142,158501.0
146,306901.0
147,531501.0
148,155301.0
159,612501.0
164,702301.0
173,140301.0
178,306903.0
180,13203.0
183,511301.0
189,871101.0
198,221201.0
204,301401.0
210,416105.0
211,306301.0
214,140204.0
221,621202.0
231,306903.0
235,155303.0
240,29202.0
241,705901.0
245,212101.0
247,157101.0
250,29203.0
255,612501.0
266,301301.0
267,531201.0
278,531301.0
280,134301.0
281,531501.0
285,231301.0
289,132004.0
295,155305.0
298,213001.0
306,415101.0
309,140204.0
311,31301.0
316,301301.0
319,23402.0
321,415503.0
323,705902.0
325,416105.0
341,307301.0
342,414902.0
346,415101.0
356,212101.0
359,812401.0
364,301401.0
371,623001.0
375,306101.0
379,212101.0
391,811401.0
398,21001.0
401,301004.0
403,420402.0
405,307501.0
408,140701.0
411,307301.0
413,214102.0
415,157101.0
420,306701.0
421,303001.0
425,521304.0
426,159104.0
427,23201.0
428,140502.0
431,531401.0
437,623002.0
441,134301.0
444,307401.0
453,221201.0
454,531201.0
457,23401.0
459,621202.0
460,23101.0
461,31501.0
464,702201.0
478,531301.0
481,140206.0
487,511401.0
497,158401.0
502,622304.0
507,420401.0
508,511501.0
518,21001.0
519,306401.0
520,853101.0
521,301004.0
541,885101.0
542,621202.0
543,157101.0
544,811201.0
550,301103.0
559,212101.0
561,621901.0
573,542001.0
602,307601.0
604,301004.0
608,863201.0
614,301004.0
619,811401.0
620,301105.0
625,306401.0
626,415101.0
635,884102.0
640,301106.0
644,624201.0
648,140204.0
649,232101.0
654,155501.0
655,301004.0
666,306701.0
669,29901.0
678,22201.0
679,420101.0
690,140204.0
694,306201.0
695,159104.0
697,612501.0
705,23401.0
708,212101.0
715,541101.0
716,621901.0
717,303001.0
721,221301.0
728,305001.0
738,621403.0
739,29203.0
751,531401.0
752,221101.0
756,531301.0
760,621301.0
763,307101.0
774,414902.0
775,413201.0
779,306201.0
784,303001.0
800,29202.0
810,621202.0
819,903101.0
821,155303.0
823,212101.0
829,307301.0
838,140204.0
839,420401.0
840,531401.0
851,612501.0
860,307301.0
864,823301.0
867,885201.0
874,159104.0
882,303001.0
890,531401.0
908,416105.0
911,22201.0
913,159104.0
922,212101.0
925,306301.0
943,413202.0
944,212101.0
947,622201.0
948,621202.0
952,621401.0
959,531701.0
960,301401.0
961,31301.0
971,813201.0
972,302001.0
975,140201.0
981,622304.0
985,841101.0
986,624301.0
989,621202.0
992,811601.0
996,212201.0
998,221401.0
999,306601.0
1001,306902.0
1004,811901.0
1013,158201.0
1014,702401.0
1015,702501.0
1019,212101.0
1021,812301.0
1027,31403.0
1029,136001.0
1030,812401.0
1031,231301.0
1032,812301.0
1033,511401.0
1037,702201.0
1038,420402.0
1041,158201.0
1045,550201.0
1046,158501.0
1051,211101.0
1065,307101.0
1068,885101.0
1069,521304.0
1074,621401.0
1080,821101.0
1081,231401.0
1090,872101.0
1094,701401.0
1099,214301.0
1106,231401.0
1109,306501.0
1118,420401.0
1129,211101.0
1134,301112.0
1136,884102.0
1139,23201.0
1144,13202.0
1145,306502.0
1149,155305.0
1151,22201.0
1152,302001.0
1158,305001.0
1166,23101.0
1175,211101.0
1182,27101.0
1183,885101.0
1187,531601.0
1193,132004.0
1203,702401.0
1204,521304.0
1207,511401.0
1208,231301.0
1210,306501.0
1212,814001.0
1213,622304.0
1214,705901.0
1215,212101.0
1218,155203.0
1221,622304.0
1223,301103.0
1224,140301.0
1228,621901.0
1233,415502.0
1237,14301.0
1248,301111.0
1256,611001.0
1258,415503.0
1259,301004.0
1261,221101.0
1275,305001.0
1281,212101.0
1284,521304.0
1287,301105.0
1298,531501.0
1305,301004.0
1307,420401.0
1308,140204.0
1310,611001.0
1321,211101.0
1326,232101.0
1329,611001.0
1330,155305.0
1333,23101.0
1341,416105.0
1354,212101.0
1355,814001.0
1357,622304.0
1364,511301.0
1373,31403.0
1374,623002.0
1385,231301.0
1390,531201.0
1394,301105.0
1397,221101.0
1414,31301.0
1415,158201.0
1423,15101.0
1439,231401.0
1440,885201.0
1453,301004.0
1454,611001.0
1460,221401.0
1462,133204.0
1465,23101.0
1466,131203.0
1471,612501.0
1472,13203.0
1474,550201.0
1482,301004.0
1484,303001.0
1486,301105.0
1496,622304.0
1498,621403.0
1499,842201.0
1502,301004.0
1505,155301.0
1507,306401.0
1516,231401.0
1519,622101.0
1522,302001.0
1523,521304.0
1524,306201.0
1530,140206.0
1532,702502.0
1543,512301.0
1547,615203.0
1551,531701.0
1558,621403.0
1563,23402.0
1569,306502.0
1571,622304.0
1575,621401.0
1576,157101.0
1586,621402.0
1587,811901.0
1592,158401.0
1593,531401.0
1595,140601.0
1597,212101.0
1598,301004.0
1602,413201.0
1607,882201.0
1608,415101.0
1611,415101.0
1614,140502.0
1615,303001.0
1618,231401.0
1631,511401.0
1636,512301.0
1641,511401.0
1649,140204.0
1658,301105.0
1659,307101.0
1660,611001.0
1662,531301.0
1670,812401.0
1676,306701.0
1680,306201.0
1688,158201.0
1706,702502.0
1708,306701.0
1717,212101.0
1718,23101.0
1719,521304.0
1729,415404.0
1733,306904.0
1739,301113.0
1741,622304.0
1746,701701.0
1753,811201.0
1755,155303.0
1760,622304.0
1773,301004.0
1779,307301.0
1790,24404.0
1794,301301.0
1800,511401.0
1806,306701.0
1807,301105.0
1809,511501.0
1816,812401.0
1821,301301.0
1824,307601.0
1827,31301.0
1830,416105.0
1831,306501.0
1833,306101.0
1842,511501.0
1845,705902.0
1850,821101.0
1853,23301.0
1856,701401.0
1858,212101.0
1861,415101.0
1865,511401.0
1867,158201.0
1869,812401.0
1872,702502.0
1874,622101.0
1877,811901.0
1883,301004.0
1886,155305.0
1894,420201.0
1903,23101.0
1905,221301.0
1908,812401.0
1909,212101.0
1923,221401.0
1929,28201.0
1934,622304.0
1937,531201.0
1939,413202.0
1940,415101.0
1941,23401.0
1951,306201.0
1954,301004.0
1965,811401.0
1978,23401.0
1979,153106.0
1984,301004.0
1986,306601.0
1988,31201.0
1997,306902.0
2005,811201.0
2006,31501.0
2008,212101.0
2012,31403.0
2014,307101.0
2017,811501.0
2028,621901.0
2029,132004.0
2036,531601.0
2038,232101.0
2049,621102.0
2067,23301.0
2079,33202.0
2094,31403.0
2095,28203.0
2103,155303.0
2109,301004.0
2116,301103.0
2117,302001.0
2120,301103.0
2125,22201.0
2126,420402.0
2143,307601.0
2144,140204.0
2150,153102.0
2161,157101.0
2167,622304.0
2168,303001.0
2171,531301.0
2174,612501.0
2177,155305.0
2179,303001.0
2195,621901.0
2198,306904.0
2200,153106.0
2222,414201.0
2235,864101.0
2240,221101.0
2241,622304.0
2247,231401.0
2248,232101.0
2253,306903.0
2265,621401.0
2272,306501.0
2286,305001.0
2289,231401.0
2293,306701.0
2317,521304.0
2318,511401.0
2322,531601.0
2328,531201.0
2329,214201.0
2332,521304.0
2338,814001.0
2341,301004.0
2342,29203.0
2349,231301.0
2350,531501.0
2354,306301.0
2355,23402.0
2356,301004.0
2358,511101.0
2360,306301.0
2361,155301.0
2366,306401.0
2369,531301.0
2371,413101.0
2372,31301.0
2378,307601.0
2381,16201.0
2382,31403.0
2383,871101.0
2390,413101.0
2392,231401.0
2393,221101.0
2398,885201.0
2404,306101.0
2407,831101.0
2422,306501.0
2433,301301.0
2444,612501.0
2445,212101.0
2448,621401.0
2450,29202.0
2453,705901.0
2454,31302.0
2455,29202.0
2481,871101.0
2488,307501.0
2494,413202.0
2495,511401.0
2507,811601.0
2514,212101.0
2517,212101.0
2521,212101.0
2526,307601.0
2527,140204.0
2532,415404.0
2534,212101.0
2536,301401.0
2542,301301.0
2548,882201.0
2555,413201.0
2560,307301.0
2565,621102.0
2566,301301.0
2570,14103.0
2571,31501.0
2572,413101.0
2573,155301.0
2574,822101.0
2575,132004.0
2585,110105.0
2588,302001.0
2589,621102.0
2599,231102.0
2601,621901.0
2612,521303.0
2614,885101.0
2615,511301.0
2618,621101.0
2626,214101.0
2628,812301.0
2629,826401.0
2630,221301.0
2638,302001.0
2639,531601.0
2641,155301.0
2645,812401.0
2653,415101.0
2675,702201.0
2678,411202.0
2679,302001.0
2682,232101.0
2690,301301.0
2697,531201.0
2699,212101.0
2700,306201.0
2701,903101.0
2703,622101.0
2706,212101.0
2709,14301.0
2710,702502.0
2718,306903.0
2736,531201.0
2738,131101.0
2742,301004.0
2743,158501.0
2744,134301.0
2751,221101.0
2754,140206.0
2755,811201.0
2756,811501.0
2762,811201.0
2763,221401.0
2764,306301.0
2768,151108.0
2773,702502.0
2777,306301.0
2783,211101.0
2789,212101.0
2791,884201.0
2800,221401.0
2802,110105.0
2807,521304.0
2809,621102.0
2818,151301.0
2819,621101.0
2822,212101.0
2824,153106.0
2832,531401.0
2839,811601.0
2846,863201.0
2867,511401.0
2870,306201.0
2877,301004.0
2888,14301.0
2890,624201.0
2892,811201.0
2893,623001.0
2894,140502.0
2895,28203.0
2900,306502.0
2904,702502.0
2905,512301.0
2908,415101.0
2910,231401.0
2917,28301.0
2919,812301.0
2921,811401.0
2922,22201.0
2926,13202.0
2927,306301.0
2930,306301.0
2932,521304.0
2934,212101.0
2939,140502.0
2942,214201.0
2945,301004.0
2946,306501.0
2947,140204.0
2950,811601.0
2953,884201.0
2957,811201.0
2960,841101.0
2961,29202.0
2966,221301.0
2973,611001.0
2995,531401.0
3000,132004.0
3004,301004.0
3011,301102.0
3018,811601.0
3024,415404.0
3026,622101.0
3027,705201.0
3031,835201.0
3035,22201.0
3038,811901.0
3048,301301.0
3054,511101.0
3059,221301.0
3060,301103.0
3076,824101.0
3077,231401.0
3091,131203.0
3092,306601.0
3095,511401.0
3096,415404.0
3103,811601.0
3104,306601.0
3107,14301.0
3110,158201.0
3116,511101.0
3117,306201.0
3124,221301.0
3125,420402.0
3129,885101.0
3139,13202.0
3141,153106.0
3143,301401.0
3154,702201.0
3157,872101.0
3159,31301.0
3162,884201.0
3170,521304.0
3173,301004.0
3175,301112.0
3176,511101.0
3178,140204.0
3183,21001.0
3186,531501.0
3187,31501.0
3203,306903.0
3205,301112.0
3206,511301.0
3213,702401.0
3214,521201.0
3219,611001.0
3240,872101.0
3246,811401.0
3249,140601.0
3259,622304.0
3262,821201.0
3263,621403.0
3271,307301.0
3278,511401.0
3279,306101.0
3286,110105.0
3292,611001.0
3294,306501.0
3302,14301.0
3303,511301.0
3306,14301.0
3307,812301.0
3318,415101.0
3319,622304.0
3320,885101.0
3321,132004.0
3322,413101.0
3323,301111.0
3326,232101.0
3328,211101.0
3335,531301.0
3336,23402.0
3354,301004.0
3358,621202.0
3359,511501.0
3366,623002.0
3371,307101.0
3375,621301.0
3377,301111.0
3382,621101.0
3383,22201.0
3391,301111.0
3392,155501.0
3393,420101.0
3394,306301.0
3396,306904.0
3407,301107.0
3410,306501.0
3416,159104.0
3418,872101.0
3424,414201.0
3427,151108.0
3428,413101.0
3434,306601.0
3435,212101.0
3438,301109.0
3440,307101.0
3444,811401.0
3446,155203.0
3460,521304.0
3461,884102.0
3465,212101.0
3467,31501.0
3471,159104.0
3480,306101.0
3484,623001.0
3489,122301.0
3492,31301.0
3501,705901.0
3522,531501.0
3523,231301.0
3528,13202.0
3529,301301.0
3538,31301.0
3539,221401.0
3541,521303.0
3545,23402.0
3552,826401.0
3554,140601.0
3559,705201.0
3565,705901.0
3572,14301.0
3574,621101.0
3576,303001.0
3578,159104.0
3581,306601.0
3590,420101.0
3602,885201.0
3603,22201.0
3605,21001.0
3607,221401.0
3608,621102.0
3610,155203.0
3613,158402.0
3617,14301.0
3620,221301.0
3622,511301.0
3627,306701.0
3630,301301.0
3631,211101.0
3637,121105.0
3645,813201.0
3649,811401.0
3651,213001.0
3659,884201.0
3660,420402.0
3663,823301.0
3664,306401.0
3673,511501.0
3677,863201.0
3685,159104.0
3688,306401.0
3689,26201.0
3690,159104.0
3691,903101.0
3695,153201.0
3699,23301.0
3706,521304.0
3717,305001.0
3724,306903.0
3730,621401.0
3732,307501.0
3741,307401.0
3744,307401.0
3746,307301.0
3750,307101.0
3752,531601.0
