idx,knowcode
6,232101
13,155305
14,301004
19,881101
20,541301
26,550201
32,301004
35,411202
49,420301
50,531701
55,158201
57,306903
64,306501
71,140601
74,622304
77,531601
83,622304
90,140204
96,211101
115,211101
116,212101
118,306501
120,221301
126,623002
127,132004
129,31501
131,14301
139,822101
142,158501
146,306901
147,531501
148,155301
155,151108
159,612501
164,702301
173,140301
178,306903
180,13203
183,511301
189,871101
198,221201
204,301401
210,416105
211,306301
214,140204
221,621202
223,29203
231,306903
235,155303
238,140701
240,29202
241,705901
245,212101
247,157101
250,29203
255,612501
266,301301
267,531201
278,531301
280,134301
281,531501
285,231301
289,132004
295,155305
298,213001
306,415101
309,140204
311,31301
316,301301
318,413202
319,23402
321,415503
323,705902
325,416105
341,307301
342,414902
346,415101
356,212101
359,812401
364,301401
371,623001
375,306101
379,212101
391,811401
398,21001
401,301004
403,420402
405,307501
408,140701
411,307301
413,214102
414,214102
415,157101
420,306701
421,303001
425,521304
426,159104
427,23201
428,140502
431,531401
437,623002
441,134301
444,307401
453,221201
454,531201
457,23401
459,621202
460,23101
461,31501
464,702201
476,29902
478,531301
481,140206
487,511401
497,158401
502,622304
506,140701
507,420401
508,511501
518,21001
519,306401
520,853101
521,301004
541,885101
542,621202
543,157101
544,811201
550,301103
559,212101
561,621901
573,542001
602,307601
604,301004
608,863201
614,301004
619,811401
620,301105
625,306401
626,415101
635,884102
640,301106
644,624201
648,140204
649,232101
654,155501
655,301004
666,306701
669,29901
678,22201
679,420101
686,33201
690,140204
694,306201
695,159104
697,612501
705,23401
708,212101
709,28203
715,541101
716,621901
717,303001
721,221301
724,705201
728,305001
738,621403
739,29203
751,531401
752,221101
756,531301
760,621301
763,307101
774,414902
775,413201
779,306201
784,303001
800,29202
810,621202
819,903101
821,155303
823,212101
829,307301
838,140204
839,420401
840,531401
851,612501
860,307301
864,823301
867,885201
874,159104
876,134302
882,303001
890,531401
908,416105
911,22201
913,159104
922,212101
925,306301
943,413202
944,212101
947,622201
948,621202
952,621401
959,531701
960,301401
961,31301
971,813201
972,302001
975,140201
981,622304
985,841101
986,624301
989,621202
992,811601
996,212201
998,221401
999,306601
1001,306902
1004,811901
1013,158201
1014,702401
1015,702501
1019,212101
1021,812301
1027,31403
1029,136001
1030,812401
1031,231301
1032,812301
1033,511401
1037,702201
1038,420402
1041,158201
1045,550201
1046,158501
1051,211101
1065,307101
1068,885101
1069,521304
1074,621401
1080,821101
1081,231401
1090,872101
1094,701401
1099,214301
1106,231401
1109,306501
1118,420401
1129,211101
1133,33202
1134,301112
1136,884102
1139,23201
1144,13202
1145,306502
1149,155305
1151,22201
1152,302001
1155,140601
1158,305001
1166,23101
1175,211101
1182,27101
1183,885101
1187,531601
1193,132004
1203,702401
1204,521304
1206,612101
1207,511401
1208,231301
1210,306501
1212,814001
1213,622304
1214,705901
1215,212101
1216,16101
1218,155203
1221,622304
1223,301103
1224,140301
1228,621901
1230,131201
1233,415502
1237,14301
1248,301111
1256,611001
1258,415503
1259,301004
1261,221101
1275,305001
1281,212101
1282,211101
1284,521304
1287,301105
1298,531501
1305,301004
1307,420401
1308,140204
1310,611001
1321,211101
1326,232101
1329,611001
1330,155305
1333,23101
1341,416105
1354,212101
1355,814001
1357,622304
1364,511301
1373,31403
1374,623002
1385,231301
1390,531201
1394,301105
1397,221101
1410,33201
1414,31301
1415,158201
1423,15101
1439,231401
1440,885201
1453,301004
1454,611001
1460,221401
1462,133204
1465,23101
1466,131203
1471,612501
1472,13203
1474,550201
1475,511401
1482,301004
1484,303001
1486,301105
1496,622304
1498,621403
1499,842201
1502,301004
1505,155301
1507,306401
1516,231401
1519,622101
1522,302001
1523,521304
1524,306201
1530,140206
1532,702502
1543,512301
1547,615203
1551,531701
1558,621403
1563,23402
1569,306502
1571,622304
1575,621401
1576,157101
1586,621402
1587,811901
1592,158401
1593,531401
1595,140601
1597,212101
1598,301004
1602,413201
1607,882201
1608,415101
1611,415101
1614,140502
1615,303001
1618,231401
1631,511401
1636,512301
1637,13202
1641,511401
1649,140204
1658,301105
1659,307101
1660,611001
1662,531301
1670,812401
1676,306701
1680,306201
1688,158201
1706,702502
1708,306701
1713,154102
1717,212101
1718,23101
1719,521304
1724,140301
1729,415404
1733,306904
1739,301113
1741,622304
1746,701701
1753,811201
1755,155303
1760,622304
1773,301004
1779,307301
1790,24404
1794,301301
1800,511401
1806,306701
1807,301105
1809,511501
1816,812401
1821,301301
1824,307601
1827,31301
1830,416105
1831,306501
1833,306101
1839,531401
1842,511501
1845,705902
1848,420401
1850,821101
1853,23301
1856,701401
1858,212101
1861,415101
1865,511401
1867,158201
1869,812401
1872,702502
1874,622101
1877,811901
1883,301004
1886,155305
1894,420201
1903,23101
1905,221301
1908,812401
1909,212101
1923,221401
1929,28201
1934,622304
1937,531201
1939,413202
1940,415101
1941,23401
1951,306201
1954,301004
1965,811401
1967,159104
1978,23401
1979,153106
1984,301004
1985,705101
1986,306601
1988,31201
1997,306902
2005,811201
2006,31501
2008,212101
2012,31403
2014,307101
2017,811501
2028,621901
2029,132004
2036,531601
2038,232101
2049,621102
2067,23301
2079,33202
2086,131201
2094,31403
2095,28203
2103,155303
2109,301004
2116,301103
2117,302001
2120,301103
2125,22201
2126,420402
2143,307601
2144,140204
2150,153102
2161,157101
2163,813201
2167,622304
2168,303001
2171,531301
2174,612501
2177,155305
2179,303001
2195,621901
2198,306904
2200,153106
2222,414201
2235,864101
2237,13201
2240,221101
2241,622304
2247,231401
2248,232101
2253,306903
2265,621401
2272,306501
2275,871101
2286,305001
2289,231401
2293,306701
2317,521304
2318,511401
2322,531601
2328,531201
2329,214201
2331,155305
2332,521304
2338,814001
2341,301004
2342,29203
2349,231301
2350,531501
2354,306301
2355,23402
2356,301004
2358,511101
2360,306301
2361,155301
2364,155103
2366,306401
2369,531301
2371,413101
2372,31301
2378,307601
2381,16201
2382,31403
2383,871101
2390,413101
2392,231401
2393,221101
2398,885201
2404,306101
2407,831101
2422,306501
2433,301301
2444,612501
2445,212101
2448,621401
2450,29202
2453,705901
2454,31302
2455,29202
2481,871101
2488,307501
2494,413202
2495,511401
2507,811601
2514,212101
2517,212101
2521,212101
2526,307601
2527,140204
2532,415404
2534,212101
2536,301401
2542,301301
2548,882201
2555,413201
2560,307301
2565,621102
2566,301301
2567,28203
2570,14103
2571,31501
2572,413101
2573,155301
2574,822101
2575,132004
2585,110105
2588,302001
2589,621102
2599,231102
2601,621901
2612,521303
2614,885101
2615,511301
2618,621101
2626,214101
2628,812301
2629,826401
2630,221301
2638,302001
2639,531601
2641,155301
2645,812401
2653,415101
2672,28203
2675,702201
2678,411202
2679,302001
2682,232101
2690,301301
2691,623002
2697,531201
2699,212101
2700,306201
2701,903101
2703,622101
2706,212101
2709,14301
2710,702502
2718,306903
2736,531201
2738,131101
2742,301004
2743,158501
2744,134301
2751,221101
2754,140206
2755,811201
2756,811501
2762,811201
2763,221401
2764,306301
2768,151108
2773,702502
2777,306301
2783,211101
2789,212101
2791,884201
2795,13305
2800,221401
2802,110105
2807,521304
2809,621102
2818,151301
2819,621101
2822,212101
2824,153106
2829,155401
2832,531401
2839,811601
2845,32501
2846,863201
2855,132002
2867,511401
2870,306201
2877,301004
2888,14301
2890,624201
2892,811201
2893,623001
2894,140502
2895,28203
2900,306502
2904,702502
2905,512301
2908,415101
2910,231401
2917,28301
2919,812301
2921,811401
2922,22201
2926,13202
2927,306301
2930,306301
2932,521304
2934,212101
2939,140502
2942,214201
2945,301004
2946,306501
2947,140204
2950,811601
2953,884201
2957,811201
2960,841101
2961,29202
2966,221301
2967,705201
2973,611001
2995,531401
2998,154103
3000,132004
3004,301004
3011,301102
3018,811601
3024,415404
3026,622101
3027,705201
3031,835201
3035,22201
3038,811901
3048,301301
3054,511101
3059,221301
3060,301103
3076,824101
3077,231401
3091,131203
3092,306601
3095,511401
3096,415404
3103,811601
3104,306601
3107,14301
3110,158201
3116,511101
3117,306201
3124,221301
3125,420402
3126,612101
3129,885101
3139,13202
3141,153106
3143,301401
3154,702201
3157,872101
3159,31301
3162,884201
3170,521304
3173,301004
3175,301112
3176,511101
3178,140204
3183,21001
3186,531501
3187,31501
3203,306903
3205,301112
3206,511301
3213,702401
3214,521201
3219,611001
3240,872101
3246,811401
3249,140601
3259,622304
3262,821201
3263,621403
3271,307301
3278,511401
3279,306101
3286,110105
3292,611001
3294,306501
3302,14301
3303,511301
3306,14301
3307,812301
3308,14103
3318,415101
3319,622304
3320,885101
3321,132004
3322,413101
3323,301111
3326,232101
3328,211101
3333,702101
3335,531301
3336,23402
3354,301004
3358,621202
3359,511501
3366,623002
3371,307101
3375,621301
3377,301111
3381,155305
3382,621101
3383,22201
3391,301111
3392,155501
3393,420101
3394,306301
3395,140206
3396,306904
3401,140206
3407,301107
3410,306501
3416,159104
3418,872101
3424,414201
3427,151108
3428,413101
3434,306601
3435,212101
3438,301109
3440,307101
3444,811401
3446,155203
3460,521304
3461,884102
3465,212101
3467,31501
3471,159104
3480,306101
3484,623001
3489,122301
3492,31301
3501,705901
3522,531501
3523,231301
3528,13202
3529,301301
3538,31301
3539,221401
3541,521303
3545,23402
3552,826401
3554,140601
3559,705201
3565,705901
3572,14301
3574,621101
3576,303001
3578,159104
3581,306601
3590,420101
3602,885201
3603,22201
3605,21001
3607,221401
3608,621102
3610,155203
3613,158402
3617,14301
3620,221301
3622,511301
3627,306701
3630,301301
3631,211101
3637,121105
3645,813201
3649,811401
3651,213001
3659,884201
3660,420402
3663,823301
3664,306401
3673,511501
3677,863201
3685,159104
3688,306401
3689,26201
3690,159104
3691,903101
3695,153201
3699,23301
3706,521304
3709,158201
3717,305001
3724,306903
3730,621401
3732,307501
3741,307401
3744,307401
3746,307301
3750,307101
3752,531601
3758,853101
3762,301004
3771,301004
3772,23301
3776,307601
3780,903101
3781,411101
3783,140206
3784,140206
3790,301004
3794,155303
3796,231401
3803,301004
3805,33202
3806,420101
3810,153201
3811,14103
3813,302001
3815,621202
3818,158201
3819,702201
3822,221201
3831,301004
3834,301103
3837,307101
3842,622101
3849,511301
3851,531701
3853,622304
3862,14301
3866,212101
3874,211101
3877,511501
3881,612101
3886,32101
3887,612501
3888,811401
3891,12402
3892,621102
3903,307601
3904,885201
3919,140204
3923,302001
3927,306903
3929,214201
3935,301004
3939,531201
3944,623001
3948,212101
3953,420401
3954,159104
3956,621202
3959,882201
3960,705901
3961,140501
3963,301004
3964,622304
3970,621401
3973,23402
3974,621101
3975,155301
3977,511301
3978,811401
3986,155303
3989,302001
3991,511401
4000,157101
4001,306101
4003,812301
4005,154103
4007,307501
4015,811201
4018,307501
4022,221201
4024,13305
4027,240301
4029,212101
4040,301004
4042,306101
4043,132004
4071,140501
4080,511301
4084,212101
4097,306701
4098,811901
4100,140206
4107,301101
4115,623001
4117,622304
4127,212101
4131,415404
4133,531401
4134,550201
4135,811401
4139,621401
4142,561501
4153,831101
4156,307601
4165,415101
4166,307501
4168,702502
4170,231201
4175,420401
4179,306301
4180,306904
4182,411101
4187,823301
4193,31302
4194,231301
4198,231401
4223,31501
4224,32501
4226,705902
4230,155305
4238,23101
4239,885201
4246,140501
4252,413201
4257,301103
4288,420402
4289,14301
4290,155305
4298,231301
4303,153102
4304,140206
4307,23403
4310,303001
4316,31301
4329,29902
4333,140601
4335,221401
4338,306301
4340,221101
4341,814001
4342,212101
4346,303001
4350,621102
4354,306904
4355,301301
4360,134301
4370,29902
4375,813201
4380,212101
4382,622201
4388,301301
4391,212101
4393,306601
4399,550201
4402,621102
4405,14103
4406,415101
4407,531401
4413,541101
4414,221101
4417,23201
4425,811901
4426,211101
4441,306101
4442,221101
4444,23201
4452,212101
4453,140204
4456,413201
4459,212101
4470,211101
